url,Position,Company,Location,Job_Description
"https://www.glassdoor.co.in/job-listing/security-delivery-analyst-accenture-JV_IC2940587_KO0,25_KE26,35.htm?jl=1009404482158",Security Delivery Analyst,Accenture,Bengaluru,"Title ATCI-LSS Job Description - Information Security – Levels 10, 11, 12 & 13

Job Description

Job Title: Information Security Analyst

Career Level: Level 10, 11, 12 & 13

Required Relevant skill Experience:
For CL 12 - 0 to 2 years

For CL 11 - 2 to 4 years

For CL 10 - 4 to 6 years

Bengaluru, Chennai, Delhi\NCR, Hyderabad, Mumbai, Pune

ATCI – Local Security Support

CISA, Security+, Risk Management, Cybersecurity, Governance Risks & Compliance, ISMS, SSAE18 SOC1& SOC2, ISO27001, Internal Audit, Information Security Audit


Information security for the Advanced Technology Centers India (ATCi)


1. Project information security (IS) assessments are our bread and butter. As an IS professional, your first step into the big bad world of risk assessments will involve conducting IS assessments for projects across India centers. You will check if the project meets the Accenture standard and client’s security requirements.

The risks that you identify are super important to keep Accenture and our client’s data safe, it will ensure that Accenture is compliant with what was agreed in the client contracts.

2. We are super proud of the fact that Accenture is the biggest company of its size that is globally ISO27001 certified (the Academy awards equivalent for IS standards) and our team is responsible for maintaining this hallowed certificate. 3rd party auditors descend on us every year to make sure that we are still worthy of the certificate, so we’ve got to be on our toes always and keep everything shipshape. As part of this you will be carrying out a bunch of activities such as

a. Making sure (via assessments) that the nice folks at support functions such as Workplace, HR, IT, Finance, Legal, Procurement etc. are compliant with ISO27001 security requirements.

b. Risk assessments to report any risks that can mess up Accenture business goals and then monitoring these risks to make sure that they’re fixed.

c. Think out-of-the-box box and innovate to get all of our Accenture folk in India as IS literate as possible. In the past we’ve done super fun stuff such as plays, live sessions, infosec gyan during new joiner orientation sessions, etc – the sky is the limit!

3. We also need to stay compliant to certain other regulatory requirements and those have their scheduled assessments and activities too.

4. Remember point 1? where we spoke about checking if the project teams are doing the right stuff? Well, quite often our clients decide to pay a visit to audit if everything is in order here or decide if they want to give us more business. This is the high adrenalin stuff where our team represents Accenture information security and supports the project folks face the client auditors.

Risk Management, Governance Risks & Compliance

You need to have a genuine interest in the information security domain and have the spunk and drive to make a positive difference in the organization – on ground.

We work as a team and therefore you need to be collaborative well and a good team player. No room here for a lone wolf. Keep in mind that our role involves interfacing with multiple business stakeholders therefore you need to be able to speak to new people all the time.

Goes without saying that good communication skills both written and spoken are quintessential for doing well at this job.

Information security is one of the fastest changing domains, so you should have the ability to learn, adapt and evolve quickly to stay relevant in this field and the learning never really ends.

We expect you to have at least a working hands-on knowledge of MS office suite tools like Word/Excel/Power-point – rest of the tools you learn on-the-job. If you have a background in project management or technical IT skills such as networking, telecom, security tools etc. you will be at an advantage.

Though currently we are working remotely, flexibility to travel both within your designated city as well as inter-city is important for you to be able to conduct assessments and other IS activities on ground.

Last but not the least, a curious bent of mind and hunger / passion to learn is a great attribute we need from our IS soldiers. As they say, half knowledge is always dangerous, so we always welcome folks who don’t stop learning.

Ability to educate a non-technical audience about various security measures

Attention to detail and time prioritization

Good to Have Skills

1. Professional information security certification/s

ISO27001, Security+, CISA etc. and knowledge of SSAE18

2. Experience in auditing ISO27001 and the SSAE18 SOC1& SOC2 controls

3. Be up to date on the latest security trends

4 Ability to educate a non-technical audience about various security measures

5 Attention to detail and time prioritization

6 Be up to date on the latest security trends"
"https://www.glassdoor.co.in/job-listing/quote-operations-analyst-trellix-JV_IC2940587_KO0,24_KE25,32.htm?jl=1009412901942",Quote Operations Analyst,Trellix,Bengaluru,"About Trellix:
Trellix is the cybersecurity company transforming security operations with artificial intelligence (AI), analytics, and automation to create a resilient digital world. Our market-leading AI-powered XDR Platform learns and adapts to disrupt active threats and empower CISOs with living security. The platform’s open architecture and broadest set of native security controls across endpoint, email, network, cloud, and data security integrates with over 500 third-party tools to create multi-vector, multi-vendor event correlation and context to speed up investigations. The Trellix Advanced Research Center provides an additional layer of protection by continuously informing the platform on the latest threat actor TTPs (techniques, tactics, and procedures) and recommendations from millions of global sensors. Trellix and an extensive partner ecosystem accelerate technology innovation and empower over 40,000 business and government customers to build confidence in the protection and resilience of their operations. Learn more at Trellix.com."
"https://www.glassdoor.co.in/job-listing/senior-information-security-analyst-i-powerschool-group-llc-JV_IC2940587_KO0,37_KE38,59.htm?jl=1009409805749",Senior Information Security Analyst I,PowerSchool Group LLC,Bengaluru,"Overview:
Job Description:
PowerSchool is hiring a Security Operations Center Associate Analyst. This position is reporting to the Security Operation Center Manager and is part of the 24x7 Security Operations Center team. This position will assist in the operation and configuration of security monitoring tools of PowerSchool including SIEM, Intrusion Detection Systems, Data Loss Prevention, WAF, Advanced Threat Protection and others. This is a great opportunity for an individual who wants to start a career in Security, working with high level technologies and professionals.
Responsibilities:
Qualifications:
EEO Commitment:"
"https://www.glassdoor.co.in/job-listing/cyber-security-analyst-avertpoint-JV_KO0,22_KE23,33.htm?jl=1009394734742",Cyber Security Analyst,Avertpoint,India,"We are looking for a Cyber Security Analyst to be a part of a cyber security startup. She/he should be highly analytical with the ability to derive facts quickly, methodically, and accurately. This is a technical role with partial customer-facing responsibility to solve product and cybersecurity-related problems of low to high complexity. You will also act as a focal point for customer problem resolution.
Duties:
- Tracking new tools, techniques and procedures used in cyber attacks
- Undertaking the relentless pursuit of cutting-edge attack techniques, meticulously monitoring and cataloging changes in the tradecraft of threat actor groups."
"https://www.glassdoor.co.in/job-listing/cybersecurity-analyst-digisec360-JV_IC2940587_KO0,21_KE22,32.htm?jl=1007936045621",Cybersecurity Analyst:,DigiSec360,Bengaluru,"The job description includes developing security systems, analyzing current systems for vulnerabilities. Candidates should have strong IT skills and a deep understanding of cyber hacker methodology."
"https://www.glassdoor.co.in/job-listing/cybersecurity-strategy-risk-compliance-associate-2-bangalore-pwc-JV_IC2940587_KO0,60_KE61,64.htm?jl=1009421672149",Cybersecurity-Strategy Risk & Compliance- Associate 2-Bangalore,PwC,Bengaluru,"Line of Service
Advisory
Industry/Sector
Not Applicable
Specialism
Cybersecurity & Privacy
Management Level
Associate
Job Description & Summary
A career in our Cybersecurity, Privacy and Forensics will provide you the opportunity to solve our clients most critical business and data protection related challenges. You will be part of a growing team driving strategic programs, data analytics, innovation, deals, cyber resilency, response, and technical implementation activities. You will have access to not only the top Cybersecurity, Privacy and Forensics professionals at PwC, but at our clients and industry analysts across the globe.

Our Regulatory Compliance team focuses on helping our clients understand their regulatory landscape on a domestic and global scale. You'll work with our clients aligning a number of different cyber, privacy and industry frameworks and requirements to their business. This includes, but is not limited to: NIST CSF, ITIL, HIPAA, PCI, FDA, FERC/NERC, OCC, FFIEC, ABAC, Cyber Executive Orders, etc. Our team designs, implements, and maintains an effective compliance program that helps our clients manage the risks against regulatory compliance obligations, as well as control framework commitments to their Board/stakeholders.

Our team also works with regulatory examiners, investigators, and industry leaders to continue to stay ahead of upcoming regulatory changes or enforcements. We help inform our clients on controls or requirements that require enhancements, and help with the compliance change management components driving new technical and business requirements out to their end users. You will be part of a team that not only assesses organizational compliance, but helps clients to strategically think through the best way to manage in a cost-effective, yet defensible manner.

Degrees/Field of Study required:
Degrees/Field of Study preferred:
Not Specified
No
No"
"https://www.glassdoor.co.in/job-listing/payroll-analyst-trellix-JV_IC2940587_KO0,15_KE16,23.htm?jl=1009426590649",Payroll Analyst,Trellix,Bengaluru,"Payroll Analyst
About Trellix:
Trellix is the cybersecurity company transforming security operations with artificial intelligence (AI), analytics, and automation to create a resilient digital world. Our market-leading AI-powered XDR Platform learns and adapts to disrupt active threats and empower CISOs with living security. The platform’s open architecture and broadest set of native security controls across endpoint, email, network, cloud, and data security integrates with over 500 third-party tools to create multi-vector, multi-vendor event correlation and context to speed up investigations. The Trellix Advanced Research Center provides an additional layer of protection by continuously informing the platform on the latest threat actor TTPs (techniques, tactics, and procedures) and recommendations from millions of global sensors. Trellix and an extensive partner ecosystem accelerate technology innovation and empower over 40,000 business and government customers to build confidence in the protection and resilience of their operations. Learn more at Trellix.com."
"https://www.glassdoor.co.in/job-listing/soc-l2-analyst-verint-systems-inc-JV_IC2940587_KO0,14_KE15,33.htm?jl=1009404826801",SOC L2 Analyst,Verint Systems Inc.,Bengaluru,"Overview of Job Function:
The SOC Tier 3 role is a critical position within the organization's security operations center (SOC). The SOC Tier 3 role is responsible for classifying, investigating, determining the outcome, and creating playbooks for SOC events.
The SOC Tier 3 role will work closely with the SOC Tier 2 team to ensure that security incidents are effectively and efficiently managed. The SOC Tier 3 role will be responsible for performing detailed investigations of security incidents, including incident classification, analysis, and determination of the outcome.
Based on the outcome of investigations, the SOC Tier 3 role will create playbooks that can be used by the SOC Tier 2 team to quickly and effectively respond to similar incidents in the future. The SOC Tier 3 role will also be responsible for developing and maintaining the playbooks, ensuring that they are up-to-date, effective and communicated to the SOC Tier 2 team."
"https://www.glassdoor.co.in/job-listing/senior-analyst-corporate-security-toast-JV_IC2940587_KO0,33_KE34,39.htm?jl=1009336769603","Senior Analyst, Corporate Security",Toast,Bengaluru,"As a Senior Corporate Security Analyst, you will:
Partner with other Toasters to ensure and maintain highly available systems and services.
Collaborate with other Security team members for complex technical security assessment activities as part of a cross-functional team.
Drive the next generation of security offerings as part of overall strategy for Toast
A Day in the Life:
Ensure all endpoints have the appropriate security control and security tools. Coordinate vulnerability remediation within endpoints"
"https://www.glassdoor.co.in/job-listing/manager-csocl2-analyst-pune-bangalore-vodafone-JV_IC2940587_KO0,37_KE38,46.htm?jl=1009429343017",Manager_CSOCL2 Analyst_Pune/Bangalore,Vodafone,Bengaluru,"About _VOIS
In 2009, _VOIS started operating in India and now has established global delivery centers in Pune, Bangalore and Ahmedabad. With more than 14,500 employees, _VOIS India supports global markets and group functions of Vodafone, and delivers best-in-class customer experience through multi-functional services in the areas of Information Technology, Networks, Business Intelligence and Analytics, Digital Business Solutions (Robotics & AI), Commercial Operations (Consumer & Business), Intelligent Operations, Finance Operations, Supply Chain Operations and HR Operations and more.
About _VOIS India"
